rowid,user,ts,ts converted,new ts,,channel,text,agreeableness,conscientiousness,extraversion,openness,adventurer,advocate,architect,campaigner,commander,consul,debater,defender,entertainer,entrepreneur,executive,logician,logistician,mediator,protagonist,virtuoso,anger,fear,joy,sadness,surprise,final_sentiment
24,U0X443CKZ,1/04/2016 1:03,1/04/2016 22:51,1/04/2016 22:51,21,General,complete data provides photo,0.370176841,0.535748706,0.505312749,0.3589407,0.05867593,0.019805053,0.03644134,0.030300889,0.047981397,0.066487153,0.055753701,0.050496256,0.077257125,0.142153274,0.122336499,0.042344318,0.092913218,0.02301319,0.026076816,0.107963837,0.16588065,0.155892462,0.450478017,0.116082028,0.111666806,0.842818558
25,U0X443CKZ,1/04/2016 1:04,1/04/2016 22:52,1/04/2016 22:52,21,General,emotion api,0.13370009,0.587785346,0.274777083,0.593081715,0.003555842,0.00690762,0.244349603,0.002117536,0.079415182,0.001225248,0.074905547,0.003769919,0.001155672,0.040880632,0.043341819,0.230474074,0.133356829,0.006515367,0.002245021,0.125784087,0.185074985,0.219224274,0.228913993,0.169169992,0.197616726,0.920748591
26,U0X443CKZ,1/04/2016 1:05,1/04/2016 22:52,1/04/2016 22:52,21,General,chris garces uploaded Happy share pasted image pm commented emotion api,0.582580274,0.446746103,0.583792448,0.551162396,0.056000219,0.064730194,0.043394583,0.106250421,0.063378831,0.072775196,0.071229398,0.04982814,0.081789665,0.05483111,0.048787888,0.048769754,0.03340437,0.07274815,0.094540004,0.03754208,0.060114548,0.054017086,0.63039881,0.202712268,0.05275733,0.909619391
27,U0X443CKZ,1/04/2016 1:06,1/04/2016 22:54,1/04/2016 22:54,21,General,amazing provides probability different emotion,0.389756177,0.512329873,0.445354087,0.504941701,0.054479484,0.047595162,0.082596462,0.04247057,0.06537963,0.038253372,0.073703265,0.048326875,0.043123499,0.074836356,0.066384763,0.093112013,0.083866274,0.053654615,0.037674181,0.094543488,0.008532007,0.031884037,0.386022866,0.014837516,0.558723569,0.993539095
28,U0X443CKZ,1/04/2016 1:31,1/04/2016 23:19,1/04/2016 23:19,21,General,chris garces uploaded Happy share actual apple pic commented identifies apple tab,0.598542193,0.434904543,0.549842426,0.561856053,0.07055509,0.075463645,0.044964345,0.103527028,0.050162824,0.064008817,0.061685663,0.057375448,0.078712202,0.046899969,0.038139086,0.055293048,0.034186653,0.092798304,0.084188251,0.042039626,0.048884496,0.01597934,0.213130251,0.101793483,0.620212436,0.855541945
29,U0X443CKZ,1/04/2016 1:36,1/04/2016 23:23,1/04/2016 23:23,21,General,chris garces uploaded Happy share multiple fruit commented bunch fruit table,0.558294104,0.4327254,0.574513835,0.564307958,0.058402108,0.06023985,0.045005783,0.106255291,0.061627165,0.062082553,0.079384371,0.045338349,0.079970975,0.0597471,0.046382487,0.057973716,0.033872726,0.077597316,0.082487425,0.043632788,0.054115046,0.032858714,0.725114405,0.094846532,0.093065307,0.967071593
30,U0WEAA087,1/04/2016 1:53,1/04/2016 23:41,1/04/2016 23:41,21,General,emotion detection actually quite interesting looking something like awhile ago good find,0.397580083,0.417245888,0.362708702,0.587505219,0.098256597,0.048360284,0.070168389,0.039873453,0.024453487,0.014473225,0.057854415,0.04153039,0.034242149,0.049683671,0.020999936,0.166011134,0.060258549,0.114415418,0.016853424,0.14256548,0.001198344,0.003437554,0.010409444,0.003219605,0.98173511,0.963172853
31,U0WEAA087,1/04/2016 1:56,1/04/2016 23:43,1/04/2016 23:43,21,General,analysing photo collection would good way categorize photo automatically,0.570183937,0.489142594,0.591998349,0.407610818,0.069928059,0.03812923,0.025917167,0.070146066,0.045861293,0.11902104,0.047679622,0.067261255,0.123740039,0.084108471,0.080900878,0.026944742,0.045718761,0.039640995,0.067470947,0.047531439,0.055092845,0.194155574,0.515073776,0.078765899,0.156911924,0.928760409
32,U0X6CUQ3D,1/04/2016 12:24,2/04/2016 10:12,2/04/2016 10:12,21,General,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
33,U0X6CUQ3D,1/04/2016 12:24,2/04/2016 10:12,2/04/2016 10:12,21,General,martinlehmann joined,0.401379113,0.590829588,0.312538193,0.28790638,0.126533613,0.027070489,0.037731044,0.009835006,0.013648375,0.045571321,0.013708103,0.125982291,0.04577075,0.063795603,0.063517638,0.037896162,0.175595031,0.027188955,0.009792154,0.176363468,0.165862501,0.229659289,0.234423697,0.149779409,0.220275104,0.475913852
